pattern_regex,category_std,priority,is_active
睡衣|情趣睡衣|性感睡衣|內衣|蕾絲|睡袍,睡衣 / 內衣,1,1
跳蛋|震動蛋|遙控蛋|跳跳蛋,跳蛋,2,1
按摩棒|震動棒|AV棒|magic wand|Wand,按摩棒,3,1
飛機杯|自慰杯|吸吮器|吮吸器|口愛杯|男用自慰器,飛機杯 / 男用玩具,4,1
潤滑液|潤滑|lubricant|潤滑劑|口交液,潤滑液,5,1
保險套|套套|避孕套|condom|安全套,保險套,6,1
女用|吸吮棒|陰蒂刺激|震動器|穿戴器|女性玩具,女用玩具,7,1
SM|手銬|項圈|皮鞭|眼罩|束縛|口球|調教|綁帶,SM / 束縛配件,8,1
情趣|成人|玩具|sex toy,綜合情趣用品,9,1
安全期|驗孕|測試|偵測,檢測 / 周邊用品,10,1
潤滑劑|香氛|按摩油|精油,按摩油 / 香氛,11,1
保養|清潔|除臭|噴霧|私密處,清潔保養用品,12,1
cosplay|角色扮演|制服|護士服|學生服|兔女郎|女僕,角色扮演 / COS服,13,1
延時|持久|助勃|增強|噴劑|口服|保健,延時 / 保健用品,14,1
潤滑套|刺套|加長套|延長套,外用輔助套,15,1
自慰棒|G點|震動|轉珠棒,女用按摩棒,16,1
冰火|熱感|冷感|加熱|發熱|cool|warm,感溫產品,17,1
禮盒|組合|套裝,情趣禮盒,18,1
